ESN,Equipment Sys ID,Equipment Type,Equipment Class / Code,Event Type,EV Project ID,EV Equipment Event ID,OFS Event ID,FSP project ID,xxx project id,FSR Number (#),Report Issued Date,Outage Start Date,Outage End Date,PDF Name / path / identifier
T651,SY0030925,Gas Turbine,61B,Borescope Inspection (BI),EVP-509802,EV-121125,C-10351951,FSP-296849,A-0193473,,,10-Aug-20,15-08-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/8e13978c-6568-4785-9397-8c6568c785d5.pdf
T656,SY0030928,Gas Turbine,61B,Borescope Inspection (BI),EVP-509802,EV-121125,C-10351951,FSP-296849,A-0193473,,,10-Aug-20,15-08-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/8e13978c-6568-4785-9397-8c6568c785d5.pdf
297650,SY0069762,Gas Turbine,7FA.03,Hot Gas Path Inspection (HGPI),EVP-505135,EV-107103,C-10335559,FSP-272830,A-1424346,,,01-Dec-20,08-12-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/8e74f735-ebbb-4347-b4f7-35ebbb0347f8.pdf
337X772,SY0071555,Generator,7FH2,Hot Gas Path Inspection (HGPI),EVP-505135,EV-107103,C-10335559,FSP-272830,A-1424346,,,01-Dec-20,08-12-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/8e74f735-ebbb-4347-b4f7-35ebbb0347f8.pdf
SG2432,SY0050445,Generator,60WY23Z,Call-Out,EVP-511381,EV-114075,C-10356257,FSP-302336,,,,25-Jan-21,15-04-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/90ab6960-5b8d-4a56-ab69-605b8d4a5618.pdf
122013,SY0526146,Steam Turbine,MECH-DRV,Minor Inspection,,,C-10345423,FSP-286763,,,,20-Apr-20,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/910ed2b0-757a-4f93-8ed2-b0757aff9378.pdf
298025,SY0343672,Gas Turbine,7FA.03,Borescope Inspection (BI),EVP-511309,EV-120093,C-10356109,FSP-302138,,,,17-Nov-20,03-12-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/9157266e-2978-4858-9726-6e297898589c.pdf
338X700,SY0342537,Generator,7FH2,Borescope Inspection (BI),EVP-511309,EV-120093,C-10356109,FSP-302138,,,,17-Nov-20,03-12-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/9157266e-2978-4858-9726-6e297898589c.pdf
890032,SY1364930,Gas Turbine,9E.03,Stand Alone Small Upgrade,EVP-508151,EV-113028,C-10348037,FSP-291015,A-0184775,,,07-12-2020,14-12-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/9168ebbb-5948-465d-a8eb-bb5948b65d10.pdf
298025,SY0343672,Gas Turbine,7FA.03,Borescope Inspection (BI),EVP-506399,EV-117122,C-10343407,FSP-283883,A-1576902,,,17-Nov-20,11-01-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/91bdf760-f674-4834-bdf7-60f67408346e.pdf
338X700,SY0342537,Generator,7FH2,Borescope Inspection (BI),EVP-506399,EV-117122,C-10343407,FSP-283883,A-1576902,,,17-Nov-20,11-01-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/91bdf760-f674-4834-bdf7-60f67408346e.pdf
890395,SY1380056,Gas Turbine,9E.03,Stand Alone Small Upgrade,EVP-505954,EV-113290,C-10341057,FSP-281139,,,,08-Jan-21,30-09-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/97284055-167c-42ab-a840-55167c42abaa.pdf
,SY0045150,Steam Turbine,,Minor Inspection,,,,,NEX-P-242143 | SP-10339820,,,01-Jun-20,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/9a589649-bd4b-4b48-9896-49bd4bfb4864.pdf
298396,SY0097045,Gas Turbine,7FA.03,Major Inspection (MI),EVP-505391,EV-107773,C-10337565,FSP-275394,A-1377492,,,11-Jan-21,28-04-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/9e139ecd-aca3-4043-939e-cdaca3304334.pdf
338X358,SY0350125,Generator,7FH2,Major Inspection (MI),EVP-505391,EV-107773,C-10337565,FSP-275394,A-1377492,,,11-Jan-21,28-04-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/9e139ecd-aca3-4043-939e-cdaca3304334.pdf
298830,SY0110201,Gas Turbine,71EA,Major Inspection (MI),EVP-503647,EV-123871,C-10342845,FSP-221902,A-1635524,,,04-Feb-21,06-03-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/9f7fad2d-5e10-4aee-bfad-2d5e10caee20.pdf
298830,SY0110201,Gas Turbine,71EA,Major Inspection (MI),EVP-503647,EV-123872,C-10342845,FSP-221902,A-1635524,,,04-Feb-21,19-02-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/9f7fad2d-5e10-4aee-bfad-2d5e10caee20.pdf
436X127,SY0134595,Generator,7A6,Major Inspection (MI),EVP-503647,EV-123871,C-10342845,FSP-221902,A-1635524,,,04-Feb-21,06-03-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/9f7fad2d-5e10-4aee-bfad-2d5e10caee20.pdf
436X127,SY0134595,Generator,7A6,Major Inspection (MI),EVP-503647,EV-123872,C-10342845,FSP-221902,A-1635524,,,04-Feb-21,19-02-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/9f7fad2d-5e10-4aee-bfad-2d5e10caee20.pdf
